InitHand                           , InitSkat  , FinalHand                          , SkatCards , ISkFull,       JacksMask,  CntJ,  Aces,  Tens, Att10, Blk10, MxLen,   TKS,   PostJacksMask, PCntJ, PAces, PTens, PAtt10, PBlk10, PMxLen,  PTKS, PSkFull, SkPts,  WinProb,  ProbGrand,  ProbClubs, ProbSpades,  ProbHearts,  ProbDiamonds, ProbNull, WonMask ,  MaxProb,  BestGame,   DurationMs
[CJ CK ST SK S8 S7 HK HQ H7 DT]    , [SQ H8]   , [CJ SK SQ ST S8 S7 HK HQ H8 H7]    , [CK DT]   ,       0,               C,     1,     0,     2,     0,     1,     4,     1,               C,     1,     0,     1,      0,      0,      5,     1,       1,    14,   0.1500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.1500, ------  ,   0.1500,      Null,     13659.17
[HJ CT C7 SA SK HA HK HQ H8 D7]    , [HT DT]   , [CT C7 HA HK HQ HJ HT H8 DT D7]    , [SA SK]   ,       2,               H,     1,     2,     1,     0,     0,     4,     0,               H,     1,     1,     3,      1,      0,      5,     1,       1,    15,   0.4000,     0.0000,     0.0000,     0.0000,      0.1000,        0.0000,   0.4000, ------  ,   0.4000,      Null,     13961.10
[SJ CT CQ C9 C8 SA SK DT D9 D7]    , [H8 H7]   , [CQ C9 C8 SA SK H8 H7 DT D9 D7]    , [SJ CT]   ,       0,               S,     1,     1,     2,     0,     0,     4,     0,               -,     0,     1,     1,      0,      0,      3,     0,       1,    12,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.0000,     Grand,     14257.72
[CJ CT ST SQ S7 HT HQ H9 H7 DK]    , [S8 D8]   , [CJ CT SQ ST S8 S7 HQ H9 H7 D8]    , [HT DK]   ,       0,               C,     1,     0,     3,     0,     1,     4,     0,               C,     1,     0,     2,      0,      1,      4,     0,       1,    14,   0.1500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.1500, ------  ,   0.1500,      Null,     13775.30
[HJ CA CK CQ SA ST H9 DA DQ D7]    , [SQ H7]   , [HJ CA CK CQ SA ST SQ DA DQ D7]    , [H9 H7]   ,       0,               H,     1,     3,     1,     1,     0,     3,     0,               H,     1,     3,     1,      1,      0,      3,     0,       0,     0,   0.1500,     0.1500,     0.1000,     0.0500,      0.1500,        0.1500,   0.0000, ------  ,   0.1500,     Grand,     15232.33
[CA CT CK ST H8 DA DK DQ D9 D7]    , [C9 HA]   , [DA DK DQ D9 D7 CA CT CK C9 HA]    , [ST H8]   ,       1,               -,     0,     2,     2,     1,     1,     5,     0,               -,     0,     3,     1,      1,      0,      5,     1,       1,    10,   0.5000,     0.0500,     0.0000,     0.0000,      0.0000,        0.5000,   0.0500, ------  ,   0.5000,  Diamonds,     14349.68
[SJ HJ C8 SA ST S9 HT HQ DQ D9]    , [H8 D8]   , [SJ HJ HT HQ H8 SA ST S9 DQ D9]    , [C8 D8]   ,       0,              SH,     2,     1,     2,     1,     0,     3,     0,              SH,     2,     1,     2,      1,      0,      3,     0,       0,     0,   0.2500,     0.0000,     0.0000,     0.0000,      0.2500,        0.2500,   0.0500, ------  ,   0.2500,    Hearts,     14021.83
[DJ CT C8 SK S9 S7 HK H7 DT DQ]    , [ST DK]   , [CT C8 SK ST S9 S7 DK DQ DJ DT]    , [HK H7]   ,       1,               D,     1,     0,     2,     0,     0,     3,     0,               D,     1,     0,     3,      0,      0,      4,     1,       0,     4,   0.0500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0500, ------  ,   0.0500,      Null,     13247.99
[HJ CT CQ C7 SA HA H9 H8 D9 D7]    , [CJ DJ]   , [CJ HJ DJ CT CQ C7 SA HA H8 D7]    , [H9 D9]   ,       0,               H,     1,     2,     1,     0,     0,     3,     0,             CHD,     3,     2,     1,      0,      0,      3,     0,       0,     0,   1.0000,     0.8000,     1.0000,     0.0000,      0.8500,        0.7000,   0.1000, GC-HD-  ,   1.0000,     Clubs,     17192.40
[CA C7 SA SQ S7 HK HQ H8 H7 DQ]    , [ST D7]   , [C7 SA SQ ST S7 HK HQ H8 H7 D7]    , [CA DQ]   ,       1,               -,     0,     2,     0,     0,     0,     4,     0,               -,     0,     1,     1,      1,      0,      4,     0,       1,    14,   0.4000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.4000, ------  ,   0.4000,      Null,     13351.75
[SJ HJ CQ C7 SK HT H9 DA DK D7]    , [HQ D8]   , [SJ HJ HT HQ H9 C7 DA DK D8 D7]    , [CQ SK]   ,       0,              SH,     2,     1,     1,     0,     0,     3,     0,              SH,     2,     1,     1,      0,      0,      4,     0,       0,     7,   0.3500,     0.0000,     0.0000,     0.0000,      0.3500,        0.1000,   0.0000, ------  ,   0.3500,    Hearts,     14635.28
[CJ DJ CK CQ C9 SQ S9 S8 H9 DT]    , [HT H8]   , [CK CQ C9 SQ S9 S8 HT H9 H8 DT]    , [CJ DJ]   ,       1,              CD,     2,     0,     1,     0,     1,     3,     0,               -,     0,     0,     2,      0,      1,      3,     0,       0,     4,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.0000,     Grand,     13306.80
[CJ C8 SK SQ S9 S8 HA DK D9 D7]    , [SA DQ]   , [CJ DK DQ D9 D7 SA SQ S9 S8 HA]    , [C8 SK]   ,       1,               C,     1,     1,     0,     0,     0,     4,     0,               C,     1,     2,     0,      0,      0,      4,     0,       0,     4,   0.7500,     0.0000,     0.0000,     0.6000,      0.0000,        0.7500,   0.1500, ----D-  ,   0.7500,  Diamonds,     19031.58
[CK CQ C7 HK HQ DT DK DQ D9 D8]    , [S8 D7]   , [CK C7 S8 HK HQ DQ DT D9 D8 D7]    , [CQ DK]   ,       0,               -,     0,     0,     1,     0,     0,     5,     1,               -,     0,     0,     1,      0,      0,      5,     0,       0,     7,   0.0500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0500, ------  ,   0.0500,      Null,     13294.64
[SJ CT CK C9 SQ S7 HQ DA DT D7]    , [DK D9]   , [SJ DA DT DK D9 D7 CT CK C9 S7]    , [SQ HQ]   ,       0,               S,     1,     1,     2,     1,     0,     3,     1,               S,     1,     1,     2,      1,      0,      5,     2,       0,     6,   0.3500,     0.0000,     0.0000,     0.0000,      0.0000,        0.3500,   0.0000, ------  ,   0.3500,  Diamonds,     14973.92
[CJ CQ S7 HT HK H8 DT DK D9 D8]    , [SA DQ]   , [CJ DT DK DQ D9 D8 SA HT HK H8]    , [CQ S7]   ,       1,               C,     1,     0,     2,     0,     0,     4,     2,               C,     1,     1,     2,      0,      0,      5,     2,       0,     3,   0.6500,     0.0000,     0.0000,     0.0000,      0.0000,        0.6500,   0.0500, ------  ,   0.6500,  Diamonds,     15040.20
[C9 SQ S9 S8 S7 HA DT DK DQ D8]    , [SA ST]   , [SA ST SQ S9 S8 S7 HA DT DK DQ]    , [C9 D8]   ,       2,               -,     0,     1,     1,     0,     0,     4,     1,               -,     0,     2,     2,      1,      0,      6,     0,       0,     0,   0.8000,     0.0000,     0.0000,     0.8000,      0.0000,        0.0000,   0.3500, --S---  ,   0.8000,    Spades,     15402.14
[CJ SJ DJ S8 S7 HT HK H9 H7 D7]    , [S9 D8]   , [S9 S8 S7 HK HT H9 H7 DJ D8 D7]    , [CJ SJ]   ,       0,             CSD,     3,     0,     1,     0,     0,     4,     1,               D,     1,     0,     1,      0,      0,      4,     1,       0,     4,   1.0000,     0.0500,     0.0000,     0.9500,      0.9500,        0.3500,   1.0000, --SH-N  ,   1.0000,      Null,     15644.79
[DJ CQ C9 ST SK S8 HK DA D9 D7]    , [SQ S9]   , [C9 SK SQ ST S9 S8 DA DJ D9 D7]    , [CQ HK]   ,       0,               D,     1,     1,     1,     0,     0,     3,     1,               D,     1,     1,     1,      0,      0,      5,     1,       0,     7,   0.1500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.1500, ------  ,   0.1500,      Null,     13495.12
[SJ HJ CA CT SK S7 HA H9 DA DK]    , [S9 D7]   , [SJ HJ SK S9 S7 CA CT HA DA DK]    , [H9 D7]   ,       0,              SH,     2,     3,     1,     1,     0,     2,     0,              SH,     2,     3,     1,      1,      0,      3,     0,       0,     0,   1.0000,     0.9000,     0.1000,     1.0000,      0.3500,        0.7500,   0.0000, G-S-D-  ,   1.0000,    Spades,     15235.04
[DJ CT ST SQ S8 HT HQ H7 DA D7]    , [CA CK]   , [CT CK ST SQ S8 HT HQ H7 DA D7]    , [DJ CA]   ,       1,               D,     1,     1,     3,     0,     1,     3,     0,               -,     0,     1,     3,      0,      0,      3,     0,       1,    13,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.0000,     Grand,     13363.28
[CJ DJ CA SA SQ S8 S7 HK HQ DA]    , [SK D7]   , [CJ DJ CA SA SK SQ S8 HK DA D7]    , [S7 HQ]   ,       0,              CD,     2,     3,     0,     0,     0,     4,     0,              CD,     2,     3,     0,      0,      0,      4,     0,       0,     3,   1.0000,     1.0000,     0.0500,     1.0000,      0.6000,        0.1500,   0.0000, G-S---  ,   1.0000,     Grand,     17340.18
[SJ HJ CA C8 ST S7 HA HQ DA D9]    , [CQ C9]   , [SJ HJ CA CQ C9 C8 HA HQ DA D9]    , [ST S7]   ,       0,              SH,     2,     3,     1,     0,     0,     2,     0,              SH,     2,     3,     0,      0,      0,      4,     0,       1,    10,   0.7500,     0.5000,     0.7500,     0.5000,      0.1000,        0.0500,   0.0000, -C----  ,   0.7500,     Clubs,     16509.51
[CJ HJ CT SA S9 S8 HA H7 DA DK]    , [CA H9]   , [CJ CA CT SA S8 HA H9 H7 DA DK]    , [HJ S9]   ,       1,              CH,     2,     3,     1,     0,     1,     3,     0,               C,     1,     4,     1,      1,      0,      3,     0,       0,     2,   1.0000,     1.0000,     1.0000,     1.0000,      1.0000,        0.9500,   0.0500, GCSHD-  ,   1.0000,     Grand,     16010.39
[SJ HJ ST HA HT HK H9 DA DQ D9]    , [S9 H8]   , [SJ HJ HA HT HK H9 H8 DA DQ D9]    , [ST S9]   ,       0,              SH,     2,     2,     2,     1,     1,     4,     1,              SH,     2,     2,     1,      1,      0,      5,     1,       1,    10,   1.0000,     0.6000,     0.0000,     0.1000,      1.0000,        0.8000,   0.0500, ---HD-  ,   1.0000,    Hearts,     24014.09
[SJ DJ C9 S9 S7 HT HK DQ D9 D8]    , [SK H8]   , [SK SJ S9 S7 HT H8 DQ DJ D9 D8]    , [C9 HK]   ,       0,              SD,     2,     0,     1,     0,     0,     3,     0,              SD,     2,     0,     1,      0,      0,      3,     0,       0,     4,   0.2000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.2000, ------  ,   0.2000,      Null,     13301.20
[CJ CA CK C9 SK S7 H8 H7 DK D8]    , [HJ DQ]   , [CA CK CJ C9 S7 HJ H7 DK DQ D8]    , [SK H8]   ,       0,               C,     1,     1,     0,     0,     0,     3,     0,              CH,     2,     1,     0,      0,      0,      3,     0,       0,     4,   0.0500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0500, ------  ,   0.0500,      Null,     14271.96
[CJ CA CQ SQ S9 S7 HT HQ DT D7]    , [DQ D8]   , [CQ SQ S9 S7 HT HQ DT DQ D8 D7]    , [CJ CA]   ,       0,               C,     1,     1,     2,     0,     0,     3,     0,               -,     0,     0,     2,      0,      0,      4,     0,       1,    13,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.0000,     Grand,     13323.50
[CJ HJ SK HA HK HQ H9 DA D8 D7]    , [DK DQ]   , [CJ HJ DA DK DQ D8 D7 HK HQ H9]    , [SK HA]   ,       0,              CH,     2,     2,     0,     0,     0,     4,     0,              CH,     2,     1,     0,      0,      0,      5,     0,       1,    15,   1.0000,     0.7500,     0.0000,     0.0500,      0.9500,        1.0000,   0.0500, G--HD-  ,   1.0000,  Diamonds,     21907.50
[CJ CA CQ C9 C8 S9 S7 H9 D9 D7]    , [S8 DQ]   , [CA CQ CJ C9 C8 S7 H9 DQ D9 D7]    , [S9 S8]   ,       0,               C,     1,     1,     0,     0,     0,     4,     0,               C,     1,     1,     0,      0,      0,      4,     0,       0,     0,   0.2500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.2500, ------  ,   0.2500,      Null,     13331.08
[CQ C9 ST SQ S8 HA HK H9 DQ D9]    , [HJ D8]   , [C9 ST SQ S8 HA HK H9 DQ D9 D8]    , [HJ CQ]   ,       0,               -,     0,     1,     1,     0,     0,     3,     0,               -,     0,     1,     1,      0,      0,      3,     0,       0,     5,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,   0.0000, ------  ,   0.0000,     Grand,     13319.75
[CJ DJ CA CK SA ST SK H7 DT D8]    , [S9 D7]   , [CJ DJ DT D8 D7 CA CK SA ST SK]    , [S9 H7]   ,       0,              CD,     2,     2,     2,     1,     0,     3,     0,              CD,     2,     2,     2,      1,      0,      3,     0,       0,     0,   1.0000,     0.7500,     0.0000,     0.8000,      0.0000,        1.0000,   0.0500, G-S-D-  ,   1.0000,  Diamonds,     19088.72
[CJ CT C9 ST SQ H8 H7 DA DT DK]    , [SJ D7]   , [CJ SJ DA DT DK D7 CT C9 ST SQ]    , [H8 H7]   ,       0,               C,     1,     1,     3,     1,     0,     3,     0,              CS,     2,     1,     3,      1,      0,      4,     1,       0,     0,   0.3500,     0.0500,     0.0000,     0.0000,      0.0000,        0.3500,   0.0500, ------  ,   0.3500,  Diamonds,     14969.11
