Hand                               , Skat      ,       JacksMask,  CntJ,  Aces,  Tens, Att10, MxLen,   TKS,   BestGame,  WinProb,  ProbGrand,  ProbClubs, ProbSpades,  ProbHearts,  ProbDiamonds,     ProbNull, WonMask ,   DurationMs
[SJ DJ CK C9 SQ S7 H7 DK D8 D7]    , -         ,              SD,     2,     0,     0,     0,     3,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     29450.56
[HJ HA H9 H8 H7 CK C8 SA SK DK]    , -         ,               H,     1,     2,     0,     0,     4,     0,     Hearts,   0.0500,     0.0000,     0.0000,     0.0000,      0.0500,        0.0000,       0.0000, ------  ,     18976.13
[CJ DJ CK C9 C7 SQ S9 S7 H9 D9]    , -         ,              CD,     2,     0,     0,     0,     3,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     45975.83
[CJ SJ HJ DK DQ D9 D8 CT C8 H9]    , -         ,             CSH,     3,     0,     1,     0,     4,     0,   Diamonds,   0.9500,     0.1000,     0.4500,     0.0000,      0.0000,        0.9500,       0.0000, ----D-  ,     45880.31
[DJ C9 C7 SA ST SK S8 HT H7 D8]    , -         ,               D,     1,     1,     2,     1,     4,     1,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     22407.23
[CJ SJ HJ C9 C8 HA HT H9 DA DQ]    , -         ,             CSH,     3,     2,     1,     1,     3,     0,      Grand,   1.0000,     1.0000,     1.0000,     0.5000,      0.9500,        1.0000,       0.0000, GC-HD-  ,     11483.76
[HJ DJ HA HQ H7 ST DA DT D8 D7]    , -         ,              HD,     2,     2,     2,     1,     4,     0,     Hearts,   0.7000,     0.4000,     0.0000,     0.0000,      0.7000,        0.5500,       0.0500, ---H--  ,     44297.63
[CJ SJ HJ CT C8 SQ HA H8 H7 DT]    , -         ,             CSH,     3,     1,     2,     0,     3,     0,      Clubs,   0.6000,     0.0500,     0.6000,     0.2000,      0.1500,        0.3000,       0.0000, ------  ,     10714.65
[HJ DA DK DQ D9 D8 CK HQ H8 H7]    , -         ,               H,     1,     1,     0,     0,     5,     0,   Diamonds,   0.1500,     0.0000,     0.0000,     0.0000,      0.0000,        0.1500,       0.0000, ------  ,     32047.16
[CJ CA CT CQ C8 SA S9 H8 DK DQ]    , -         ,               C,     1,     2,     1,     1,     4,     0,      Grand,   0.1000,     0.1000,     0.1000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     26469.16
[CT CQ C8 C7 ST S8 S7 HA HK H9]    , -         ,               -,     0,     1,     2,     0,     4,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,      4776.09
[CJ CT CQ C9 C8 ST HK DA D9 D7]    , -         ,               C,     1,     1,     2,     0,     4,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     10342.30
[SJ CT C9 SA S7 HT H7 DK DQ D8]    , -         ,               S,     1,     1,     2,     0,     3,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     20367.46
[CK CQ C9 SK S8 S7 HQ DT DK D7]    , -         ,               -,     0,     0,     1,     0,     3,     1,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,      1343.95
[DJ DA DQ D7 C9 SA S8 S7 HA HK]    , -         ,               D,     1,     3,     0,     0,     3,     0,   Diamonds,   0.0500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0500,       0.0000, ------  ,     31630.65
[CJ SJ HK H9 C8 SA S8 S7 DQ D9]    , -         ,              CS,     2,     1,     0,     0,     3,     0,     Hearts,   0.0500,     0.0000,     0.0000,     0.0000,      0.0500,        0.0500,       0.0000, ------  ,      8428.86
[CA C8 C7 ST S9 S7 HT H9 DT DQ]    , -         ,               -,     0,     1,     3,     0,     3,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,      5731.78
[DJ CQ C8 S9 HA HQ H9 H8 DQ D8]    , -         ,               D,     1,     1,     0,     0,     4,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     17943.70
[SJ DJ HT HQ CA CT CQ S7 DA D8]    , -         ,              SD,     2,     2,     2,     1,     3,     0,     Hearts,   0.3000,     0.2500,     0.0500,     0.0500,      0.3000,        0.1000,       0.0000, ------  ,     50642.12
[HJ CK ST HA HT HK HQ H9 D9 D7]    , -         ,               H,     1,     1,     2,     1,     5,     1,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     17227.42
[HJ CA CQ S8 S7 HA H7 DK DQ D7]    , -         ,               H,     1,     2,     0,     0,     3,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     17392.38
[CJ CT C8 SK HQ H7 DK DQ D9 D7]    , -         ,               C,     1,     0,     1,     0,     4,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,      8158.62
[CJ SJ HJ DQ D9 CA SQ S8 HA HT]    , -         ,             CSH,     3,     2,     1,     1,     2,     0,   Diamonds,   1.0000,     0.6000,     0.5500,     0.8500,      0.5500,        1.0000,       0.0000, --S-D-  ,      5105.70
[CT C9 SK S9 HA HT H9 H8 DT DK]    , -         ,               -,     0,     1,     3,     1,     4,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,      5313.69
[CJ DJ DK D9 D8 CA CQ S9 HT HQ]    , -         ,              CD,     2,     1,     1,     0,     3,     0,   Diamonds,   0.0500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0500,       0.0000, ------  ,     42035.79
[SJ DJ C9 C8 SA S9 HK H8 DT D9]    , -         ,              SD,     2,     1,     1,     0,     2,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     34799.23
[CA CQ SA ST S9 S8 HA H9 H8 DQ]    , -         ,               -,     0,     3,     1,     1,     4,     0,      Grand,   0.0500,     0.0500,     0.0000,     0.0000,      0.0000,        0.0500,       0.0000, ------  ,     13767.31
[C8 C7 SA ST S7 HA HT H7 DT D9]    , -         ,               -,     0,     2,     3,     2,     3,     0,      Grand,   0.0500,     0.0500,     0.0500,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,      4338.79
[CJ DJ CK CQ C9 SQ S7 DA D9 D8]    , -         ,              CD,     2,     1,     0,     0,     3,     0,      Clubs,   0.0500,     0.0000,     0.0500,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     40976.51
[SJ DJ CA CK C8 HA HT HK DA D7]    , -         ,              SD,     2,     3,     1,     1,     3,     0,      Grand,   1.0000,     1.0000,     0.8000,     0.1500,      0.9500,        0.6500,       0.0000, GC-H--  ,     53639.06
[SJ HJ DJ CT CQ S9 H9 H7 D8 D7]    , -         ,             SHD,     3,     0,     1,     0,     2,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     32162.25
[DJ DT DK D7 CA C9 S8 HA HK H8]    , -         ,               D,     1,     2,     1,     0,     3,     1,   Diamonds,   0.0500,     0.0000,     0.0000,     0.0000,      0.0000,        0.0500,       0.0000, ------  ,     54443.41
